sdf_file_ix,COMPOUND_NAMES,Reference,IC50_range_nM,smiles
431,Example 686 (R) (Page No: 764),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(C2CCOCC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
432,Example 685 (R) (Page No: 763),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(C2CCOCC=2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
433,Example 358 (R) (Page No: 543),WO2019148005,<100,CCOc1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@H](C)Cc1nncn1C
434,Example 688 (R) (Page No: 765),WO2019148005,301-1000,CCCOc1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@H](C)Cc1nncn1C
435,Example 359 (R) (Page No: 544),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(nc(c1)OCCO)N1Cc2c(cccc2C(F)(F)F)C1=O
436,Example 356 (R) (Page No: 542),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cc(nc(c1)OCC(F)F)N1Cc2c(cccc2C(F)(F)F)C1=O
437,Example 354 (R) (Page No: 541),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cc(nc(c1)OC1COC1)N1Cc2c(cccc2C(F)(F)F)C1=O
438,Example 355 (R) (Page No: 542),WO2019148005,301-1000,CC1C(CO1)Oc1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@H](C)Cc1nncn1C
439,Example 682 (R) (Page No: 762),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(c2cncs2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
440,Example 279 (R) (Page No: 487),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)c2ccn[nH]2)C1=O
441,Example 377 (R) (Page No: 556),WO2019148005,<100,Cc1c[nH]nc1c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@H](C)Cc1nncn1C)=O
442,Example 381 (R) (Page No: 559),WO2019148005,<100,Cc1c(cn[nH]1)c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)[C@H](C)Cc1nncn1C)=O
443,Example 378 (R) (Page No: 557),WO2019148005,<100,Cc1c(c2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)[C@H](C)Cc2nncn2C)=O)c(C)[nH]n1
444,Example 385 (Page No: 563),WO2019148005,<100,Cc1c(c2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)c(C)[nH]n1
445,Example 683 (R) (Page No: 763),WO2019148005,101-300,Cc1cn[nH]c1c1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@H](C)Cc1nncn1C
446,Example 684 (R) (Page No: 763),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(c2cn[nH]c2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
447,Example 384 (R) (Page No: 562),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)n2cccn2)C1=O
448,Example 652 (Page No: 743),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCc4c3cn(C)n4)cc2C(F)(F)F)C1=O
449,Example 651 (Page No: 743),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCc4c3cnn4C)cc2C(F)(F)F)C1=O
450,Example 523 (Page No: 664),WO2019148005,101-300,Cn1cnnc1c1cnn(C)c1c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
451,Example 524 (R) (Page No: 664),WO2019148005,<100,C[C@@H]1CN(CCO1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)c1c(cnn1C)c1nncn1C)=O
452,Example 525 (Stereo) (Page No: 665),WO2019148005,<100,C[C@H]1CN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)c2c(cnn2C)c2nncn2C)=O)C[C@@H](C)O1
453,Example 649 (Page No: 742),WO2019148005,<100,Cc1nc2CN(CCc2o1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
454,Example 367a (R) (Page No: 547),WO2019148005,101-300,Cc1conc1C[C@@H](C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
455,Example 268 (+/-) (Page No: 478),WO2019148005,301-1000,Cc1conc1C[C@@H](C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
456,Example 367b (S) (Page No: 547),WO2019148005,1001-3000,Cc1conc1C[C@@H](C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
457,Example 269 (+/-) (Page No: 479),WO2019148005,1001-3000,CC(Cc1c(CO)con1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
458,Example 407 (Stereo) (Page No: 575),WO2019148005,<100,Cc1conc1C[C@@H](C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2CC[C@@H](C2)O)=O)C1=O
459,Example 484 (Stereo) (Page No: 635),WO2019148005,101-300,C[C@H](Cc1c(con1)C(F)(F)F)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2CC[C@@H](C2)O)=O)C1=O
460,Example 485 (Stereo) (Page No: 637),WO2019148005,101-300,C[C@H](Cc1c(con1)C(F)(F)F)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)cc2C(F)(F)F)C1=O
461,Example 535 (Page No: 671),WO2019148005,<100,Cc1conc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4(CC4)C3)cc2C(F)(F)F)C1=O
462,Example 272a (R) (Page No: 482),WO2019148005,101-300,Cc1c(C[C@@H](C)c2cccc(c2)N2Cc3c(cccc3C(F)(F)F)C2=O)nc[nH]1
463,Example 272 (+/-) (Page No: 481),WO2019148005,301-1000,Cc1c(C[C@@H](C)c2cccc(c2)N2Cc3c(cccc3C(F)(F)F)C2=O)nc[nH]1
464,Example 267a (R) (Page No: 478),WO2019148005,1001-3000,C[C@H](Cc1nccn1C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
465,Example 267 (+/-) (Page No: 477),WO2019148005,3001-10000,CC(Cc1nccn1C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
466,Example 261 (R) (Page No: 475),WO2019148005,3001-10000,C[C@H](Cc1ncco1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
467,Example 368 (R) (Page No: 548),WO2019148005,301-1000,C[C@H](Cc1nncs1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
468,Example 266 (R) (Page No: 477),WO2019148005,3001-10000,C[C@H](Cc1nnco1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
469,Example 463 (Stereo) (Page No: 606),WO2019148005,<100,Cc1c[nH]nc1C[C@H](C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2CC[C@@H](C2)O)=O)C1=O
470,Example 464 (Stereo) (Page No: 607),WO2019148005,<100,Cc1c[nH]nc1C[C@@H](C)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2C[C@H](C[C@H]2C)O)=O)C1=O
471,Example 465 (Stereo) (Page No: 608),WO2019148005,<100,C[C@H](Cc1c(c[nH]n1)C(F)(F)F)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C(N2CC[C@@H](C2)O)=O)C1=O
472,Example 270a (S) (Page No: 479),WO2019148005,301-1000,Cc1c[nH]nc1C[C@H](C)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
473,Example 271b (R) (Page No: 480),WO2019148005,1001-3000,C[C@H](Cc1c(CO)c[nH]n1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
474,Example 271 (+/-) (Page No: 480),WO2019148005,3001-10000,CC(Cc1c(CO)c[nH]n1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
475,Example 271a (S) (Page No: 480),WO2019148005,>10000,C[C@@H](Cc1c(CO)c[nH]n1)c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
476,Example 166a (S) (Page No: 423),WO2019148005,101-300,C[C@@H](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
477,Example 166b (R) (Page No: 424),WO2019148005,1001-3000,C[C@H](c1cccc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
478,Example 168a (S) (Page No: 426),WO2019148005,101-300,C[C@@H](c1cc(cc(c1)F)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
479,Example 168 (+/-) (Page No: 425),WO2019148005,301-1000,CC(c1cc(cc(c1)F)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
480,Example 168b (R) (Page No: 426),WO2019148005,1001-3000,C[C@H](c1cc(cc(c1)F)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
481,Example 169 (S) (Page No: 426),WO2019148005,1001-3000,C[C@@H](c1ccc(c(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)F)Sc1nncn1C
482,Example 170 (R) (Page No: 427),WO2019148005,>10000,C[C@H](c1ccc(c(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)F)Sc1nncn1C
483,Example 164 (S) (Page No: 422),WO2019148005,301-1000,C[C@@H](c1cccc(c1)N1Cc2cc(ccc2C1=O)[Cl])Sc1nncn1C
484,Example 163 (+/-) (Page No: 421),WO2019148005,3001-10000,CC(c1cccc(c1)N1Cc2ccc(cc2C1=O)[Cl])Sc1nncn1C
485,Example 165 (+/-) (Page No: 423),WO2019148005,3001-10000,CC(c1cccc(c1)N1Cc2ccc(cc2C1=O)C(C)(C)O)Sc1nncn1C
486,Example 172a (S) (Page No: 427),WO2019148005,301-1000,C[C@@H](c1ccnc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
487,Example 172b (R) (Page No: 427),WO2019148005,3001-10000,C[C@H](c1ccnc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
488,Example 175 (+/-) (Page No: 429),WO2019148005,3001-10000,CC(c1cc(N)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
489,Example 178 (+/-) (Page No: 431),WO2019148005,301-1000,CCNc1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)C(C)Sc1nncn1C
490,Example 180 (+/-) (Page No: 431),WO2019148005,1001-3000,CC(c1cc(NC)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
491,Example 176 (+/-) (Page No: 430),WO2019148005,301-1000,CC(CO)Nc1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)C(C)Sc1nncn1C
492,Example 174 (+/-) (Page No: 429),WO2019148005,1001-3000,CC(c1cc(NCCO)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
493,Example 177 (S) (Page No: 430),WO2019148005,3001-10000,CC(c1cc(NC[C@H](C)O)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
494,Example 179 (+/-) (Page No: 431),WO2019148005,3001-10000,CC(c1cc(NC2CCOC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O)Sc1nncn1C
495,Example 173 (+/-) (Page No: 429),WO2019148005,3001-10000,CC(c1ccnc(c1)N1Cc2ccc(cc2C1=O)C(NC)=O)Sc1nncn1C
496,Example 167 (S) (Page No: 424),WO2019148005,301-1000,C[C@@H](c1cccc(c1)N1Cc2c(ccnc2[Cl])C1=O)Sc1nncn1C
497,Example 700 (Page No: 778),WO2019148005,101-300,Cn1cnnc1OC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(CC3)F)cc2C(F)(F)F)C1=O
498,"Compound 14 (R) (Page No: 56, Table No: 1)",WO 2021/021761 A1,101-1000,C[C@H](Cc1nncn1C)c1ccnc(c1)C(Nc1cccc(C(F)(F)F)n1)=O
499,Example 302 (R) (Page No: 508),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1ccnc(c1)NC(c1cccc(C(F)(F)F)n1)=O
500,"Compound 18 (R) (Page No: 56, Table No: 1)",WO 2021/021761 A1,>5000,C[C@H](Cc1nncn1C)c1cccc(c1)C(Nc1cccc(C(F)(F)F)n1)=O
501,Example 321 (R) (Page No: 522),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cccc(C(C)(C)C)n1)=O
502,Example 202 (R) (Page No: 443),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cccc(CCO)n1)=O
503,Example 183a (R) (Page No: 433),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cccc(C(F)(F)F)n1)=O
504,Example 183b (S) (Page No: 433),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cccc(C(F)(F)F)n1)=O
505,Example 284 (Page No: 494),WO2019148005,<100,CC(C)(Cc1nncn1C)c1cccc(c1)NC(c1cccc(C(F)(F)F)n1)=O
506,Example 184 (R) (Page No: 434),WO2019148005,1001-3000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(F)(F)F)=O
507,Example 188 (R) (Page No: 435),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cccc(C(CO)(F)F)n1)=O
508,Example 191 (R) (Page No: 436),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C(F)(F)F)n1)C1CC1)=O
509,Example 322 (S) (Page No: 522),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C(F)(F)F)n1)C1CC1)=O
510,Example 320 (R) (Page No: 521),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C(F)(F)F)n1)C(C)(C)O)=O
511,Example 192 (R) (Page No: 437),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C(F)(F)F)n1)OC)=O
512,Example 190 (R) (Page No: 436),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C(F)(F)F)n1)C1(COC1)O)=O
513,Example 186 (R) (Page No: 434),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(c(cn1)[Cl])C(C)(C)O)=O
514,Example 189 (R) (Page No: 435),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cncc(C(F)(F)F)n1)=O
515,Example 203 (R) (Page No: 444),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1ccc(CO)c(C2CC2)n1)=O
516,Example 376 (R) (Page No: 556),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1ccc(CNC)c(C2CC2)n1)=O
517,Example 288 (trans) (Page No: 496),WO2019148005,3001-10000,Cc1ccc(C(Nc2cccc(c2)[C@H](C)[C@@H](c2nncn2C)O)=O)nc1C1CC1
518,Example 286 (+/-) (Page No: 495),WO2019148005,101-300,Cc1ccc(C(Nc2cccc(c2)[C@@H](C)C(c2nncn2C)(F)F)=O)nc1C1CC1
519,Example 287 (+/-) (Page No: 495),WO2019148005,101-300,C[C@H](c1cccc(c1)NC(c1ccc(CO)c(C2CC2)n1)=O)C(c1nncn1C)(F)F
520,Example 198 (R) (Page No: 440),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C2CC2)n1)S(C)(=O)=O)=O
521,"Example 198b (S) (Page No: 72, Table No: 1)",WO2019148005,3001-10000,C[C@@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C2CC2)n1)S(C)(=O)=O)=O
522,Example 200 (R) (Page No: 441),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C(F)(F)F)n1)S(N)(=O)=O)=O
523,Example 201 (R) (Page No: 442),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C(F)(F)F)n1)S(NC)(=O)=O)=O
524,Example 185 (R) (Page No: 434),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cccc(n1)S(C)(=O)=O)=O
525,Example 199 (R) (Page No: 441),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1ccnc(C2CC2)n1)=O
526,Example 333 (Stereo) (Page No: 528),WO2019148005,101-300,Cc1cc(C(Nc2cccc(c2)[C@H]2C[C@H]2c2nncn2C)=O)nc(C2CC2)n1
527,Example 511 (Page No: 652),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C(C)(C)Cc2nncn2C)=O)nc(C2CC2)n1
528,Example 694 (Page No: 771),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(CCC2)Cc2nncn2C)=O)nc(C2CC2)n1
529,Example 195 (R) (Page No: 439),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)[C@H](C)Cc2nncn2C)=O)nc(C2CC2)n1
530,Example 325 (S) (Page No: 524),WO2019148005,101-300,Cc1cc(C(Nc2cccc(c2)[C@@H](C)Cc2nncn2C)=O)nc(C2CC2)n1
531,Example 193 (R) (Page No: 437),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(C2CC2)nc(C2CC2)n1)=O
532,Example 344 (R) (Page No: 533),WO2019148005,101-300,Cc1cc(C(Nc2cccc(c2)[C@](C)(C(c2nncn2C)(F)F)F)=O)nc(C2CC2)n1
533,Example 346 (Page No: 534),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(CC2)C(c2nncn2C)(F)F)=O)nc(C2CC2)n1
534,Example 526 (Page No: 665),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(Cc3nncn3C)CC(C2)(F)F)=O)nc(C2CC2)n1
535,Example 187 (R) (Page No: 435),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1ccnc(C(F)(F)F)n1)=O
536,Example 194 (R) (Page No: 438),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)[C@H](C)Cc2nncn2C)=O)nc(C(F)(F)F)n1
537,Example 285 (Page No: 494),WO2019148005,101-300,CC(C)(Cc1nncn1C)c1cccc(c1)NC(c1ccnc(C(F)(F)F)n1)=O
538,Example 336 (Page No: 529),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(Cc3nncn3C)COC2)=O)nc(C2CC2)n1
539,Example 340 (Page No: 531),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(Cc3nncn3C)COC2)=O)nc(C2CCC2)n1
540,Example 347 (Page No: 537),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(C2CC2)nc(C2CC2)n1)=O
541,Example 698 (Page No: 774),WO2019148005,<100,Cc1cc(C(Nc2cc(cc(c2)C2(Cc3nncn3C)COC2)C2CC2)=O)nc(C2CC2)n1
542,Example 705 (Page No: 782),WO2019148005,3001-10000,CCn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(C)nc(C2CC2)n1)=O
543,Example 534a (S) (Page No: 671),WO2019148005,101-300,Cc1cc(C(Nc2cccc(c2)[C@@]2(CCOC2)Cc2nncn2C)=O)nc(C2CC2)n1
544,Example 534b (R) (Page No: 671),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)[C@]2(CCOC2)Cc2nncn2C)=O)nc(C2CC2)n1
545,Example 704 (Page No: 781),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(Cc3nncn3C(F)F)COC2)=O)nc(C2CC2)n1
546,Example 337 (Page No: 529),WO2019148005,101-300,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1ccnc(C(F)(F)F)n1)=O
547,Example 338 (Page No: 530),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(Cc3nncn3C)COC2)=O)nc(C(F)(F)F)n1
548,Example 341 (Page No: 532),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(C2CC2)nc(C(F)(F)F)n1)=O
549,Example 339 (Page No: 530),WO2019148005,<100,Cc1cc(C2CC2)nc(c1)C(Nc1cccc(c1)C1(Cc2nncn2C)COC1)=O
550,Example 669a (S) (Page No: 751),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(COC2)[C@@H](c2nncn2C)F)=O)nc(C2CC2)n1
551,Example 669b (R) (Page No: 751),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(COC2)[C@H](c2nncn2C)F)=O)nc(C2CC2)n1
552,Example 676 (Page No: 758),WO2019148005,<100,Cc1cc(C(Nc2cccc(c2)C2(COC2)C(c2nncn2C)(F)F)=O)nc(C2CC2)n1
553,Example 342 (Page No: 532),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(nc(C2CC2)n1)OC)=O
554,Example 690 (Page No: 767),WO2019148005,<100,CCOc1cc(cc(c1)NC(c1cc(C)nc(C2CC2)n1)=O)C1(Cc2nncn2C)COC1
555,Example 518 (Page No: 659),WO2019148005,101-300,Cc1cc(C(Nc2cccc(c2)C2CCCC=2c2nncn2C)=O)nc(C2CC2)n1
556,Example 503 (Page No: 648),WO2019148005,<100,CN(C)Cc1cc(C(Nc2cccc(c2)C2(Cc3nncn3C)COC2)=O)nc(C2CC2)n1
557,Example 504 (Page No: 649),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(CN2CCC2)nc(C2CC2)n1)=O
558,Example 589 (Page No: 710),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(CN2CCCCC2)nc(C2CC2)n1)=O
559,Example 593 (+/-) (Page No: 713),WO2019148005,<100,CC(c1cc(C(Nc2cccc(c2)C2(Cc3nncn3C)COC2)=O)nc(C2CC2)n1)N1CCCC1
560,Example 505 (S) (Page No: 649),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(CN2CC[C@@H](C2)O)nc(C2CC2)n1)=O
561,Example 574 (S) (Page No: 700),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(CN2CC[C@@H](C2)F)nc(C2CC2)n1)=O
562,Example 699 (S) (Page No: 776),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(CN2CC[C@@H](C2)F)nc(C(F)(F)F)n1)=O
563,Example 538 (+/-) (Page No: 673),WO2019148005,<100,CC(c1cc(C(Nc2cccc(c2)C2(Cc3nncn3C)COC2)=O)nc(C2CC2)n1)N1CC(C1)F
564,Example 496 (S) (Page No: 642),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(CN2CC[C@@H](C2)F)cc(C2CC2)n1)=O
565,Example 501 (R) (Page No: 646),WO2019148005,<100,C[C@@H]1CN(CCO1)Cc1cc(C2CC2)nc(c1)C(Nc1cccc(c1)C1(Cc2nncn2C)COC1)=O
566,Example 519 (Page No: 660),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(CN2CCC3(CC3)C2)cc(C2CC2)n1)=O
567,Example 592a (S) (Page No: 711),WO2019148005,<100,C[C@@H](c1cc(C(Nc2cccc(c2)C2(Cc3nncn3C)COC2)=O)nc(C2CC2)n1)N1CCC2(CC2)C1
568,Example 592b (R) (Page No: 711),WO2019148005,<100,C[C@H](c1cc(C(Nc2cccc(c2)C2(Cc3nncn3C)COC2)=O)nc(C2CC2)n1)N1CCC2(CC2)C1
569,Example 506 (Page No: 650),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(Cn2ccnn2)nc(C2CC2)n1)=O
570,Example 205 (trans) (Page No: 444),WO2019148005,<100,C[C@@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)O[C@H]1CC[C@@H](C1)O)=O
571,Example 207 (Stereo) (Page No: 445),WO2019148005,301-1000,C[C@@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)O[C@H]1CC[C@H](C1)O)=O
572,Example 206 (Stereo) (Page No: 445),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)O[C@H]1CC[C@H](C1)O)=O
573,Example 502 (Page No: 647),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)NC(c1cc(cc(C2CC2)n1)OC(F)F)=O
574,Example 224 (Stereo) (Page No: 458),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1C[C@H](C[C@H]1C)O)=O)=O
575,Example 223 (Stereo) (Page No: 457),WO2019148005,3001-10000,C[C@H]1C[C@@H](CN1C(c1ccnc(c1)C(Nc1cccc(c1)[C@H](C)Cc1nncn1C)=O)=O)O
576,Example 251 (Stereo) (Page No: 467),WO2019148005,301-1000,CCn1cnnc1C[C@@H](C)c1cccc(c1)NC(c1cc(ccn1)C(N1C[C@H](C[C@H]1C)O)=O)=O
577,Example 222 (Stereo) (Page No: 457),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1CC[C@@](C)(C1)O)=O)=O
578,Example 221 (Stereo) (Page No: 455),WO2019148005,301-1000,C[C@@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(cc(C2CC2)n1)C(N1CC[C@@H](C1)O)=O)=O
579,Example 239 (R) (Page No: 463),WO2019148005,1001-3000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1CC(C(C)(C)C1)O)=O)=O
580,Example 231 (R) (Page No: 460),WO2019148005,1001-3000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1CCC(C1(C)C)O)=O)=O
581,Example 232 (R) (Page No: 461),WO2019148005,1001-3000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1CC(C1)CO)=O)=O
582,Example 241 (R) (Page No: 464),WO2019148005,3001-10000,CC(C1CN(C1)C(c1ccnc(c1)C(Nc1cccc(c1)[C@H](C)Cc1nncn1C)=O)=O)O
583,Example 245 (R) (Page No: 465),WO2019148005,1001-3000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1CCC(C1)CO)=O)=O
584,Example 227 (R) (Page No: 459),WO2019148005,1001-3000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1CCC(C)(CC1)O)=O)=O
585,Example 240 (Stereo) (Page No: 463),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1C[C@@H]([C@H](C1)F)O)=O)=O
586,Example 235 (Stereo) (Page No: 462),WO2019148005,1001-3000,C[C@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1C[C@@H]([C@H](C1)F)O)=O)=O
587,Example 246 (Stereo) (Page No: 466),WO2019148005,1001-3000,C[C@@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1C[C@@H]([C@@H](C1)O)F)=O)=O
588,Example 243 (R) (Page No: 465),WO2019148005,301-1000,C[C@@H](Cc1nncn1C)c1cccc(c1)NC(c1cc(ccn1)C(N1CC(C(C1)(F)F)O)=O)=O
